Name,Current Price,S3,S2,S1,Pivot,R1,R2,R3
BLISSGVS,122.65,109.88,113.42,118.03,121.57,126.18,129.72,134.33
BLKASHYAP,66.7,63.5,64.9,65.8,67.2,68.1,69.5,70.4
BLS,329.4,316.9,322.0,325.7,330.8,334.5,339.6,343.3
BLSE,299.0,289.0,293.0,296.0,300.0,303.0,307.0,310.0
BLUECHIP,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
BLUEDART,6318.75,6130.23,6185.62,6252.18,6307.57,6374.13,6429.52,6496.08
BLUEJET,384.6,360.0,369.0,376.8,385.8,393.6,402.6,410.4
BLUEPEBBLE,300.0,271.53,280.77,290.38,299.62,309.23,318.47,328.08
BLUESTARCO,1455.5,1410.48,1429.27,1442.38,1461.17,1474.28,1493.07,1506.18
BMETRICS,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
BODALCHEM,79.4,76.88,77.97,78.68,79.77,80.48,81.57,82.28
BOHRAIND,19.0,17.4,17.8,18.4,18.8,19.4,19.8,20.4
BOMDYEING,167.85,162.87,165.18,166.52,168.83,170.17,172.48,173.82
BOROLTD,353.05,345.55,348.75,350.9,354.1,356.25,359.45,361.6
BORORENEW,521.65,509.63,514.82,518.23,523.42,526.83,532.02,535.43
BOSCHLTD,28877.2,28348.43,28579.27,28728.23,28959.07,29108.03,29338.87,29487.83
BPCL,609.45,585.2,592.15,600.8,607.75,616.4,623.35,632.0
BPL,112.05,89.9,96.95,104.5,111.55,119.1,126.15,133.7
BRIGADE,1020.4,896.98,951.47,985.93,1040.42,1074.88,1129.37,1163.83
BRIGHT,8.95,8.63,8.72,8.83,8.92,9.03,9.12,9.23
BRITANNIA,4800.45,4707.3,4750.15,4775.3,4818.15,4843.3,4886.15,4911.3
BRNL,55.2,55.03,55.07,55.13,55.17,55.23,55.27,55.33
BROOKS,108.95,108.95,108.95,108.95,108.95,108.95,108.95,108.95
BSE,3210.35,3018.83,3064.92,3137.63,3183.72,3256.43,3302.52,3375.23
BSE500IETF,34.87,34.37,34.59,34.73,34.95,35.09,35.31,35.45
BSHSL,217.3,205.13,210.57,213.93,219.37,222.73,228.17,231.53
BSL,189.15,181.13,184.22,186.68,189.77,192.23,195.32,197.78
BSLGOLDETF,64.53,63.68,63.99,64.26,64.57,64.84,65.15,65.42
BSLNIFTY,25.51,24.11,24.5,25.01,25.4,25.91,26.3,26.81
BSLSENETFG,72.38,71.33,71.83,72.1,72.6,72.87,73.37,73.64
BSOFT,674.15,622.77,640.88,657.52,675.63,692.27,710.38,727.02
BTML,17.95,16.35,17.05,17.5,18.2,18.65,19.35,19.8
BURNPUR,6.75,6.53,6.62,6.68,6.77,6.83,6.92,6.98
BUTTERFLY,841.5,797.87,814.93,828.22,845.28,858.57,875.63,888.92
BVCL,54.25,53.0,53.25,53.75,54.0,54.5,54.75,55.25
BYKE,74.2,65.0,67.6,70.9,73.5,76.8,79.4,82.7
CADSYS,393.1,354.57,362.33,377.72,385.48,400.87,408.63,424.02
CALSOFT,16.45,15.12,15.48,15.97,16.33,16.82,17.18,17.67
CAMLINFINE,108.6,104.9,106.5,107.55,109.15,110.2,111.8,112.85
CAMPUS,251.45,245.1,248.05,249.75,252.7,254.4,257.35,259.05
CAMS,3206.5,3085.0,3137.5,3172.0,3224.5,3259.0,3311.5,3346.0
CANARYS,52.45,49.35,50.55,51.5,52.7,53.65,54.85,55.8
CANBK,617.6,602.7,608.4,613.0,618.7,623.3,629.0,633.6
CANFINHOME,746.95,731.13,736.32,741.63,746.82,752.13,757.32,762.63
CANTABIL,211.35,200.02,205.08,208.22,213.28,216.42,221.48,224.62
CAPACITE,310.75,299.07,303.88,307.32,312.13,315.57,320.38,323.82
CAPITALSFB,347.2,336.68,339.27,343.23,345.82,349.78,352.37,356.33
CAPLIPOINT,1355.5,1309.0,1323.0,1339.25,1353.25,1369.5,1383.5,1399.75
CAPTRUST,122.6,113.8,117.3,119.95,123.45,126.1,129.6,132.25
CARBORUNIV,1440.5,1361.48,1388.17,1414.33,1441.02,1467.18,1493.87,1520.03
CAREERP,359.1,324.1,338.2,348.65,362.75,373.2,387.3,397.75
CARERATING,1172.05,1119.3,1142.85,1157.45,1181.0,1195.6,1219.15,1233.75
CARTRADE,710.05,676.03,691.52,700.78,716.27,725.53,741.02,750.28
CARYSIL,955.2,922.23,933.67,944.43,955.87,966.63,978.07,988.83
CASTROLIND,212.7,205.33,207.97,210.33,212.97,215.33,217.97,220.33
CBAZAAR,20.65,20.18,20.32,20.48,20.62,20.78,20.92,21.08
CCHHL,15.25,14.33,14.62,14.93,15.22,15.53,15.82,16.13
CCL,580.85,569.75,574.35,577.6,582.2,585.45,590.05,593.3
CDSL,2119.5,2035.75,2067.9,2093.7,2125.85,2151.65,2183.8,2209.6
CEATLTD,2523.55,2442.37,2481.18,2502.37,2541.18,2562.37,2601.18,2622.37
CELEBRITY,20.35,18.65,19.25,19.8,20.4,20.95,21.55,22.1
CELLECOR,256.95,245.5,250.25,253.6,258.35,261.7,266.45,269.8
CELLO,930.8,899.33,912.37,921.58,934.62,943.83,956.87,966.08
CELLPOINT,39.3,38.13,38.57,38.93,39.37,39.73,40.17,40.53
CENTENKA,462.6,450.03,455.07,458.83,463.87,467.63,472.67,476.43
CENTEXT,18.85,18.72,18.78,18.82,18.88,18.92,18.98,19.02
CENTRALBK,66.0,63.75,64.6,65.3,66.15,66.85,67.7,68.4
CENTRUM,37.05,34.53,35.52,36.28,37.27,38.03,39.02,39.78
CENTUM,2055.75,1914.07,1948.08,2001.92,2035.93,2089.77,2123.78,2177.62
CENTURYPLY,638.9,626.42,631.23,635.07,639.88,643.72,648.53,652.37
CENTURYTEX,1997.3,1841.8,1876.4,1936.85,1971.45,2031.9,2066.5,2126.95
CERA,7204.2,7036.13,7108.07,7156.13,7228.07,7276.13,7348.07,7396.13
CEREBRAINT,7.6,7.2,7.3,7.45,7.55,7.7,7.8,7.95
CESC,143.5,137.42,139.23,141.37,143.18,145.32,147.13,149.27
CGCL,225.05,214.18,218.62,221.83,226.27,229.48,233.92,237.13
CGPOWER,557.6,518.82,529.13,543.37,553.68,567.92,578.23,592.47
CGRAPHICS,208.75,170.5,184.25,196.5,210.25,222.5,236.25,248.5
CHALET,883.8,829.07,847.03,865.42,883.38,901.77,919.73,938.12
CHAMBLFERT,422.85,398.22,404.78,413.82,420.38,429.42,435.98,445.02
CHAVDA,141.5,133.13,136.97,139.23,143.07,145.33,149.17,151.43
CHEMBOND,551.75,526.8,538.55,545.15,556.9,563.5,575.25,581.85
CHEMCON,260.5,251.92,255.83,258.17,262.08,264.42,268.33,270.67
CHEMFAB,614.0,568.35,586.2,600.1,617.95,631.85,649.7,663.6
CHEMPLASTS,496.5,480.12,487.13,491.82,498.83,503.52,510.53,515.22
CHENNPETRO,1051.65,949.43,998.22,1024.93,1073.72,1100.43,1149.22,1175.93
CHEVIOT,1324.0,1260.33,1280.67,1302.33,1322.67,1344.33,1364.67,1386.33
CHOICEIN,325.05,317.87,320.68,322.87,325.68,327.87,330.68,332.87
CHOLAFIN,1171.7,1118.95,1134.7,1153.2,1168.95,1187.45,1203.2,1221.7
CHOLAHLDNG,1084.85,1041.95,1061.35,1073.1,1092.5,1104.25,1123.65,1135.4
CIEINDIA,490.2,478.87,482.53,486.37,490.03,493.87,497.53,501.37
CIGNITITEC,1301.45,1180.52,1210.28,1255.87,1285.63,1331.22,1360.98,1406.57
CINELINE,128.7,120.43,122.87,125.78,128.22,131.13,133.57,136.48
CINEVISTA,20.2,19.27,19.53,19.87,20.13,20.47,20.73,21.07
CIPLA,1409.15,1385.25,1393.25,1401.2,1409.2,1417.15,1425.15,1433.1
CLEAN,1312.95,1276.27,1287.98,1300.47,1312.18,1324.67,1336.38,1348.87
CLEDUCATE,85.7,83.28,83.97,84.83,85.52,86.38,87.07,87.93
CLOUD,47.8,45.23,46.37,47.08,48.22,48.93,50.07,50.78
CLSEL,228.6,222.73,224.47,226.53,228.27,230.33,232.07,234.13
CLSL,42.5,38.65,39.5,41.0,41.85,43.35,44.2,45.7
CMICABLES,4.95,4.88,4.92,4.93,4.97,4.98,5.02,5.03
CMNL,94.5,87.78,89.87,92.18,94.27,96.58,98.67,100.98
CMRSL,141.2,140.87,140.93,141.07,141.13,141.27,141.33,141.47
CMSINFO,404.05,396.88,399.42,401.73,404.27,406.58,409.12,411.43
CNX_100,23232.1,22965.5,23083.1,23157.6,23275.2,23349.7,23467.3,23541.8
COALINDIA,455.8,443.6,447.9,451.85,456.15,460.1,464.4,468.35
COASTCORP,258.25,245.9,249.25,253.75,257.1,261.6,264.95,269.45
COCHINSHIP,1352.05,1293.77,1310.48,1331.27,1347.98,1368.77,1385.48,1406.27
COFFEEDAY,63.15,61.43,62.22,62.68,63.47,63.93,64.72,65.18
COFORGE,5251.0,4950.67,5060.33,5155.67,5265.33,5360.67,5470.33,5565.67
COLPAL,2855.15,2710.0,2743.95,2799.55,2833.5,2889.1,2923.05,2978.65
COMMITTED,59.7,57.33,57.97,58.83,59.47,60.33,60.97,61.83
COMMOIETF,88.01,85.96,86.76,87.38,88.18,88.8,89.6,90.22
COMPINFO,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
COMPUSOFT,33.95,29.13,31.12,32.53,34.52,35.93,37.92,39.33
COMSYN,76.1,66.65,69.4,72.75,75.5,78.85,81.6,84.95
CONCOR,1068.0,950.33,978.27,1023.13,1051.07,1095.93,1123.87,1168.73
CONCORDBIO,1660.05,1604.52,1622.78,1641.42,1659.68,1678.32,1696.58,1715.22
CONFIPET,90.4,87.23,88.67,89.53,90.97,91.83,93.27,94.13
CONS,104.0,102.95,103.47,103.74,104.26,104.53,105.05,105.32
CONSOFINVT,258.3,245.77,250.13,254.22,258.58,262.67,267.03,271.12
CONSUMBEES,113.45,111.19,112.2,112.82,113.83,114.45,115.46,116.08
CONSUMIETF,105.35,102.29,103.09,104.22,105.02,106.15,106.95,108.08
CONTI,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6
CONTROLPR,939.25,905.9,920.45,929.85,944.4,953.8,968.35,977.75
COOLCAPS,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0
CORALFINAC,43.6,41.6,42.0,42.8,43.2,44.0,44.4,45.2
CORDSCABLE,169.0,161.33,164.67,166.83,170.17,172.33,175.67,177.83
COROMANDEL,1184.5,1038.17,1073.23,1128.87,1163.93,1219.57,1254.63,1310.27
COSMOFIRST,590.15,542.12,562.38,576.27,596.53,610.42,630.68,644.57
COUNCODOS,6.4,5.48,5.77,6.08,6.37,6.68,6.97,7.28
CPS,387.65,373.43,377.22,382.43,386.22,391.43,395.22,400.43
CPSEETF,86.31,84.95,85.4,85.85,86.3,86.75,87.2,87.65
CRAFTSMAN,4684.6,4532.32,4577.03,4630.82,4675.53,4729.32,4774.03,4827.82
CRAYONS,148.15,129.77,138.58,143.37,152.18,156.97,165.78,170.57
CREATIVE,846.85,776.38,795.72,821.28,840.62,866.18,885.52,911.08
CREATIVEYE,5.1,4.77,4.83,4.97,5.03,5.17,5.23,5.37
CREDITACC,1467.9,1427.47,1441.23,1454.57,1468.33,1481.67,1495.43,1508.77
CREST,380.65,369.42,372.58,376.62,379.78,383.82,386.98,391.02
CRISIL,4472.1,4200.82,4315.43,4393.77,4508.38,4586.72,4701.33,4779.67
CROMPTON,313.5,298.87,303.33,308.42,312.88,317.97,322.43,327.52
CROWN,212.3,212.3,212.3,212.3,212.3,212.3,212.3,212.3
CSBBANK,384.1,324.8,346.9,365.5,387.6,406.2,428.3,446.9
CSLFINANCE,461.3,443.93,450.47,455.88,462.42,467.83,474.37,479.78
CTE,97.15,87.57,89.48,93.32,95.23,99.07,100.98,104.82
CUB,160.25,151.53,154.22,157.23,159.92,162.93,165.62,168.63
CUBEXTUB,122.5,122.5,122.5,122.5,122.5,122.5,122.5,122.5
CUMMINSIND,3240.85,3146.23,3175.62,3208.23,3237.62,3270.23,3299.62,3332.23
CUPID,106.0,95.73,100.17,103.08,107.52,110.43,114.87,117.78
CYBERMEDIA,25.95,24.58,25.12,25.53,26.07,26.48,27.02,27.43
CYBERTECH,166.35,160.07,162.08,164.22,166.23,168.37,170.38,172.52
CYIENT,1885.8,1757.35,1812.7,1849.25,1904.6,1941.15,1996.5,2033.05
CYIENTDLM,691.6,666.82,677.53,684.57,695.28,702.32,713.03,720.07
DABUR,509.0,499.43,502.37,505.68,508.62,511.93,514.87,518.18
DALBHARAT,1799.75,1748.23,1772.62,1786.18,1810.57,1824.13,1848.52,1862.08
DALMIASUG,394.05,384.77,387.78,390.92,393.93,397.07,400.08,403.22
DAMODARIND,51.85,49.05,50.25,51.05,52.25,53.05,54.25,55.05
DANGEE,8.9,8.13,8.37,8.63,8.87,9.13,9.37,9.63
DATAMATICS,610.55,591.03,599.52,605.03,613.52,619.03,627.52,633.03
DATAPATTNS,3105.05,2960.37,3002.08,3053.57,3095.28,3146.77,3188.48,3239.97
DAVANGERE,93.7,90.38,91.47,92.58,93.67,94.78,95.87,96.98
DBCORP,282.3,269.87,275.43,278.87,284.43,287.87,293.43,296.87
DBL,453.0,434.93,442.47,447.73,455.27,460.53,468.07,473.33
DBOL,135.4,128.5,131.4,133.4,136.3,138.3,141.2,143.2
DBREALTY,231.8,208.5,214.7,223.25,229.45,238.0,244.2,252.75
DBSTOCKBRO,50.9,41.62,45.43,48.17,51.98,54.72,58.53,61.27
DCAL,229.65,220.17,224.08,226.87,230.78,233.57,237.48,240.27
DCBBANK,138.75,131.05,134.05,136.4,139.4,141.75,144.75,147.1
DCG,85.3,81.93,83.37,84.33,85.77,86.73,88.17,89.13
DCI,229.5,213.6,216.8,223.15,226.35,232.7,235.9,242.25
DCM,79.35,76.97,77.98,78.67,79.68,80.37,81.38,82.07
DCMFINSERV,5.45,4.87,5.08,5.27,5.48,5.67,5.88,6.07
DCMNVL,213.25,197.43,204.02,208.63,215.22,219.83,226.42,231.03
DCMSHRIRAM,956.55,830.12,867.58,912.07,949.53,994.02,1031.48,1075.97
DCMSRIND,190.9,182.93,186.57,188.73,192.37,194.53,198.17,200.33
DCW,56.65,55.47,55.98,56.32,56.83,57.17,57.68,58.02
DCXINDIA,324.55,313.1,318.05,321.3,326.25,329.5,334.45,337.7
DECCANCE,635.0,614.33,623.27,629.13,638.07,643.93,652.87,658.73
DEEM,109.1,101.6,104.8,106.95,110.15,112.3,115.5,117.65
DEEPAKFERT,621.1,585.07,597.63,609.37,621.93,633.67,646.23,657.97
DEEPAKNTR,2477.05,2280.87,2343.28,2410.17,2472.58,2539.47,2601.88,2668.77
DEEPENR,183.0,176.68,179.17,181.08,183.57,185.48,187.97,189.88
DEEPINDS,290.6,279.45,284.0,287.3,291.85,295.15,299.7,303.0
DELAPLEX,247.45,228.37,236.68,242.07,250.38,255.77,264.08,269.47
DELHIVERY,457.65,444.45,449.95,453.8,459.3,463.15,468.65,472.5
DELPHIFX,234.1,216.32,223.13,228.62,235.43,240.92,247.73,253.22
DELTACORP,123.95,118.2,120.35,122.15,124.3,126.1,128.25,130.05
DELTAMAGNT,106.2,97.23,101.27,103.73,107.77,110.23,114.27,116.73
DEN,53.1,50.83,51.77,52.43,53.37,54.03,54.97,55.63
DENEERS,210.0,203.33,206.67,208.33,211.67,213.33,216.67,218.33
DENORA,1954.35,1824.9,1873.45,1913.9,1962.45,2002.9,2051.45,2091.9
DENTALKART,555.25,463.5,491.75,523.5,551.75,583.5,611.75,643.5
DESTINY,40.5,39.93,40.07,40.28,40.42,40.63,40.77,40.98
DEVIT,119.95,115.87,117.28,118.62,120.03,121.37,122.78,124.12
DEVYANI,168.65,164.42,166.08,167.37,169.03,170.32,171.98,173.27
DGCONTENT,23.25,20.48,21.12,22.18,22.82,23.88,24.52,25.58
DHAMPURSUG,235.35,223.03,226.92,231.13,235.02,239.23,243.12,247.33
DHANBANK,44.45,43.12,43.58,44.02,44.48,44.92,45.38,45.82
DHANI,50.7,47.62,48.93,49.82,51.13,52.02,53.33,54.22
DHANUKA,1396.6,1266.45,1303.7,1350.15,1387.4,1433.85,1471.1,1517.55
DHARMAJ,236.85,225.75,230.35,233.6,238.2,241.45,246.05,249.3
DHRUV,108.2,108.2,108.2,108.2,108.2,108.2,108.2,108.2
DHTL,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0
DHUNINV,1272.85,1219.73,1240.42,1256.63,1277.32,1293.53,1314.22,1330.43
DIACABS,759.75,759.75,759.75,759.75,759.75,759.75,759.75,759.75
DIAMINESQ,577.15,546.7,560.85,569.0,583.15,591.3,605.45,613.6
DIAMONDYD,907.3,877.77,887.03,897.17,906.43,916.57,925.83,935.97
DICIND,469.8,452.43,458.77,464.28,470.62,476.13,482.47,487.98
DIGIDRIVE,42.3,42.22,42.23,42.27,42.28,42.32,42.33,42.37
DIGIKORE,533.35,492.32,511.18,522.27,541.13,552.22,571.08,582.17
DIGISPICE,29.45,26.5,27.75,28.6,29.85,30.7,31.95,32.8
DIGJAMLMTD,89.5,79.9,83.2,86.35,89.65,92.8,96.1,99.25
DIL,8.25,7.97,8.08,8.17,8.28,8.37,8.48,8.57
DISHTV,17.9,17.35,17.6,17.75,18.0,18.15,18.4,18.55
DIVGIITTS,828.25,802.0,813.55,820.9,832.45,839.8,851.35,858.7
DIVISLAB,4016.35,3685.65,3760.85,3888.6,3963.8,4091.55,4166.75,4294.5
DIVOPPBEES,74.72,70.83,72.42,73.57,75.16,76.31,77.9,79.05
DIXON,8580.15,7852.43,8008.72,8294.43,8450.72,8736.43,8892.72,9178.43
DJML,278.3,248.53,257.77,268.03,277.27,287.53,296.77,307.03
DKEGL,68.1,67.93,67.97,68.03,68.07,68.13,68.17,68.23
DLF,908.0,879.45,886.6,897.3,904.45,915.15,922.3,933.0
DLINKINDIA,322.95,308.32,315.18,319.07,325.93,329.82,336.68,340.57
DMART,4553.15,4294.67,4413.08,4483.12,4601.53,4671.57,4789.98,4860.02
DMCC,352.1,319.32,335.03,343.57,359.28,367.82,383.53,392.07
DNAMEDIA,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
DODLA,960.25,919.43,931.02,945.63,957.22,971.83,983.42,998.03
DOLATALGO,111.1,87.47,95.23,103.17,110.93,118.87,126.63,134.57
DOLLAR,557.95,540.55,548.35,553.15,560.95,565.75,573.55,578.35
DOLLEX,41.5,41.0,41.1,41.3,41.4,41.6,41.7,41.9
DOLPHIN,414.2,414.2,414.2,414.2,414.2,414.2,414.2,414.2
DOMS,1761.95,1620.03,1682.82,1722.38,1785.17,1824.73,1887.52,1927.08
DONEAR,104.3,100.42,102.03,103.17,104.78,105.92,107.53,108.67
DPABHUSHAN,1133.45,910.73,968.62,1051.03,1108.92,1191.33,1249.22,1331.63
DPSCLTD,17.8,17.17,17.33,17.57,17.73,17.97,18.13,18.37
DPWIRES,516.85,483.65,498.15,507.5,522.0,531.35,545.85,555.2
DRCSYSTEMS,19.3,18.42,18.83,19.07,19.48,19.72,20.13,20.37
DREAMFOLKS,552.7,496.88,509.97,531.33,544.42,565.78,578.87,600.23
DREDGECORP,824.7,784.82,802.43,813.57,831.18,842.32,859.93,871.07
DRONE,242.45,222.43,231.22,236.83,245.62,251.23,260.02,265.63
DRREDDY,6252.1,6054.35,6116.6,6184.35,6246.6,6314.35,6376.6,6444.35
DSSL,1343.1,1245.97,1288.03,1315.57,1357.63,1385.17,1427.23,1454.77
DTIL,201.45,191.55,195.95,198.7,203.1,205.85,210.25,213.0
DUCOL,104.0,95.67,97.33,100.67,102.33,105.67,107.33,110.67
DUCON,7.45,7.45,7.45,7.45,7.45,7.45,7.45,7.45
DUGLOBAL,71.95,63.27,66.18,69.07,71.98,74.87,77.78,80.67
DVL,338.6,307.52,318.23,328.42,339.13,349.32,360.03,370.22
DWARKESH,73.6,72.1,72.7,73.15,73.75,74.2,74.8,75.25
DYCL,441.55,425.57,430.68,436.12,441.23,446.67,451.78,457.22
DYNAMATECH,7923.2,7571.05,7730.0,7826.6,7985.55,8082.15,8241.1,8337.7
DYNAMIC,239.05,239.05,239.05,239.05,239.05,239.05,239.05,239.05
DYNPRO,304.4,288.6,292.8,298.6,302.8,308.6,312.8,318.6
E2E,1160.45,1029.63,1090.82,1125.63,1186.82,1221.63,1282.82,1317.63
EASEMYTRIP,47.0,44.87,45.43,46.22,46.78,47.57,48.13,48.92
EASTSILK,1.8,1.67,1.73,1.77,1.83,1.87,1.93,1.97
EBBETF0425,1202.31,1153.79,1177.91,1190.11,1214.23,1226.43,1250.55,1262.75
EBBETF0430,1354.62,1232.2,1272.17,1313.4,1353.37,1394.6,1434.57,1475.8
EBBETF0431,1210.05,1204.88,1207.0,1208.52,1210.64,1212.16,1214.28,1215.8
EBBETF0433,1111.09,1102.35,1104.44,1107.76,1109.85,1113.17,1115.26,1118.58
ECLERX,2430.6,2365.12,2393.63,2412.12,2440.63,2459.12,2487.63,2506.12
EDELWEISS,76.15,73.12,74.58,75.37,76.83,77.62,79.08,79.87
EDUCOMP,3.25,2.83,2.92,3.08,3.17,3.33,3.42,3.58
EFACTOR,156.0,154.67,155.33,155.67,156.33,156.67,157.33,157.67
EFORCE,95.35,92.23,93.12,94.23,95.12,96.23,97.12,98.23
EGOLD,73.5,72.0,72.5,73.0,73.5,74.0,74.5,75.0
EICHERMOT,4601.0,4510.2,4541.1,4571.05,4601.95,4631.9,4662.8,4692.75
EIDPARRY,627.45,611.22,617.48,622.47,628.73,633.72,639.98,644.97
EIFFL,133.5,128.25,130.8,132.15,134.7,136.05,138.6,139.95
EIHAHOTELS,748.85,673.82,706.88,727.87,760.93,781.92,814.98,835.97
EIHOTEL,474.9,441.68,452.37,463.63,474.32,485.58,496.27,507.53
EIMCOELECO,2314.35,2207.1,2228.55,2271.45,2292.9,2335.8,2357.25,2400.15
EKC,149.5,144.32,146.33,147.92,149.93,151.52,153.53,155.12
ELDEHSG,1132.15,1010.08,1046.02,1089.08,1125.02,1168.08,1204.02,1247.08
ELECON,1126.2,1090.2,1105.1,1115.65,1130.55,1141.1,1156.0,1166.55
ELECTCAST,193.1,177.4,184.7,188.9,196.2,200.4,207.7,211.9
ELECTHERM,769.15,769.15,769.15,769.15,769.15,769.15,769.15,769.15
ELGIEQUIP,650.45,609.87,619.68,635.07,644.88,660.27,670.08,685.47
ELGIRUBCO,56.35,52.3,53.65,55.0,56.35,57.7,59.05,60.4
ELIN,166.95,157.58,161.52,164.23,168.17,170.88,174.82,177.53
EMAMILTD,480.2,441.47,450.73,465.47,474.73,489.47,498.73,513.47
EMAMIPAP,120.4,116.83,118.17,119.28,120.62,121.73,123.07,124.18
EMAMIREAL,116.1,106.57,109.93,113.02,116.38,119.47,122.83,125.92
EMBASSY,362.02,344.8,352.95,357.49,365.64,370.18,378.33,382.87
EMIL,207.85,193.98,197.52,202.68,206.22,211.38,214.92,220.08
EMKAY,162.9,142.85,147.7,155.3,160.15,167.75,172.6,180.2
EMKAYTOOLS,676.35,665.9,669.45,672.9,676.45,679.9,683.45,686.9
EMMBI,106.05,102.87,104.08,105.07,106.28,107.27,108.48,109.47
EMSLIMITED,466.65,441.27,449.68,458.17,466.58,475.07,483.48,491.97
EMUDHRA,737.95,684.32,705.08,721.52,742.28,758.72,779.48,795.92
ENDURANCE,1978.65,1926.17,1941.08,1959.87,1974.78,1993.57,2008.48,2027.27
ENERGYDEV,23.85,22.57,23.08,23.47,23.98,24.37,24.88,25.27
ENFUSE,120.05,107.83,113.42,116.73,122.32,125.63,131.22,134.53
ENGINERSIN,236.85,209.2,215.75,226.3,232.85,243.4,249.95,260.5
ENIL,269.35,249.87,257.98,263.67,271.78,277.47,285.58,291.27
ENSER,67.95,63.88,64.72,66.33,67.17,68.78,69.62,71.23
ENTERO,1151.75,1084.17,1110.28,1131.02,1157.13,1177.87,1203.98,1224.72
EPACK,207.25,199.23,202.62,204.93,208.32,210.63,214.02,216.33
EPIGRAL,1307.2,1253.07,1276.53,1291.87,1315.33,1330.67,1354.13,1369.47
EPL,181.9,173.05,175.5,178.7,181.15,184.35,186.8,190.0
EQUAL50ADD,289.91,285.55,287.36,288.63,290.44,291.71,293.52,294.79
EQUIPPP,35.35,32.65,33.55,34.45,35.35,36.25,37.15,38.05
EQUITASBNK,98.85,96.07,97.28,98.07,99.28,100.07,101.28,102.07
ERIS,892.95,857.23,866.12,879.53,888.42,901.83,910.72,924.13
EROSMEDIA,23.0,19.4,20.4,21.7,22.7,24.0,25.0,26.3
ESABINDIA,5223.95,4974.23,5077.12,5150.53,5253.42,5326.83,5429.72,5503.13
ESAFSFB,62.05,60.7,61.05,61.55,61.9,62.4,62.75,63.25
ESCONET,186.35,172.63,175.82,181.08,184.27,189.53,192.72,197.98
ESCORTS,3291.7,3118.15,3159.1,3225.4,3266.35,3332.65,3373.6,3439.9
ESFL,200.7,178.63,184.77,192.73,198.87,206.83,212.97,220.93
ESG,37.44,36.95,37.17,37.3,37.52,37.65,37.87,38.0
ESILVER,83.53,82.22,82.51,83.02,83.31,83.82,84.11,84.62
ESSARSHPNG,30.3,28.63,29.37,29.83,30.57,31.03,31.77,32.23
ESSENTIA,4.05,3.88,3.92,3.98,4.02,4.08,4.12,4.18
ESTER,122.7,108.83,113.67,118.18,123.02,127.53,132.37,136.88
ETHOSLTD,2460.65,2371.92,2394.98,2427.82,2450.88,2483.72,2506.78,2539.62
EUROBOND,185.0,182.32,183.63,184.32,185.63,186.32,187.63,188.32
EUROTEXIND,14.15,13.95,14.05,14.1,14.2,14.25,14.35,14.4
EVEREADY,357.05,321.43,336.82,346.93,362.32,372.43,387.82,397.93
EVERESTIND,1248.4,1206.07,1224.13,1236.27,1254.33,1266.47,1284.53,1296.67
EXCEL,0.55,0.467,0.483,0.517,0.533,0.567,0.583,0.617
EXCELINDUS,1044.8,975.32,991.73,1018.27,1034.68,1061.22,1077.63,1104.17
EXICOM,278.85,254.87,264.98,271.92,282.03,288.97,299.08,306.02
EXIDEIND,466.65,416.08,430.12,448.38,462.42,480.68,494.72,512.98
EXPLEOSOL,1302.15,1265.4,1282.25,1292.2,1309.05,1319.0,1335.85,1345.8
EXXARO,105.4,100.35,102.2,103.8,105.65,107.25,109.1,110.7
FACT,721.65,686.25,698.65,710.15,722.55,734.05,746.45,757.95
FAIRCHEMOR,1413.0,1365.4,1379.7,1396.35,1410.65,1427.3,1441.6,1458.25
FAZE3Q,422.3,369.22,391.43,406.87,429.08,444.52,466.73,482.17
FCL,379.75,364.52,369.58,374.67,379.73,384.82,389.88,394.97
FCONSUMER,0.95,0.867,0.883,0.917,0.933,0.967,0.983,1.02
FCSSOFT,4.1,3.8,3.9,4.0,4.1,4.2,4.3,4.4
FDC,456.7,446.22,449.63,453.17,456.58,460.12,463.53,467.07
FEDERALBNK,157.1,153.42,154.73,155.92,157.23,158.42,159.73,160.92
FEDFINA,127.1,123.87,125.03,126.07,127.23,128.27,129.43,130.47
FEL,0.75,0.667,0.683,0.717,0.733,0.767,0.783,0.817
FELDVR,4.9,4.55,4.7,4.8,4.95,5.05,5.2,5.3
FELIX,382.6,341.15,351.6,367.1,377.55,393.05,403.5,419.0
FIBERWEB,35.55,32.83,33.92,34.73,35.82,36.63,37.72,38.53
FIDEL,110.5,110.5,110.5,110.5,110.5,110.5,110.5,110.5
FIEMIND,1209.0,1154.67,1168.73,1188.87,1202.93,1223.07,1237.13,1257.27
FILATEX,63.25,61.55,62.35,62.8,63.6,64.05,64.85,65.3
FINCABLES,1004.4,969.47,985.33,994.87,1010.73,1020.27,1036.13,1045.67
FINEORG,4481.85,4273.15,4361.65,4421.75,4510.25,4570.35,4658.85,4718.95
FINIETF,23.58,22.6,23.02,23.3,23.72,24.0,24.42,24.7
