Name,Current Price,S3,S2,S1,Pivot,R1,R2,R3
AIRTELPP,943.1,917.47,926.83,934.97,944.33,952.47,961.83,969.97
AISL,129.7,122.87,124.23,126.97,128.33,131.07,132.43,135.17
AJANTPHARM,2193.5,1946.4,2033.2,2113.35,2200.15,2280.3,2367.1,2447.25
AJMERA,834.25,781.5,795.15,814.7,828.35,847.9,861.55,881.1
AJOONI,6.55,6.12,6.28,6.42,6.58,6.72,6.88,7.02
AKANKSHA,96.05,90.7,92.95,94.5,96.75,98.3,100.55,102.1
AKASH,39.95,38.12,38.88,39.42,40.18,40.72,41.48,42.02
AKG,21.25,20.57,20.78,21.02,21.23,21.47,21.68,21.92
AKI,20.65,18.23,19.22,19.93,20.92,21.63,22.62,23.33
AKSHAR,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.35
AKSHARCHEM,281.0,267.08,271.07,276.03,280.02,284.98,288.97,293.93
AKSHOPTFBR,9.65,8.92,9.18,9.42,9.68,9.92,10.18,10.42
AKZOINDIA,2442.0,2402.0,2416.0,2429.0,2443.0,2456.0,2470.0,2483.0
ALANKIT,18.05,18.05,18.05,18.05,18.05,18.05,18.05,18.05
ALBERTDAVD,1192.45,1123.35,1140.75,1166.6,1184.0,1209.85,1227.25,1253.1
ALEMBICLTD,94.35,90.23,92.12,93.23,95.12,96.23,98.12,99.23
ALICON,937.45,883.25,901.15,919.3,937.2,955.35,973.25,991.4
ALKALI,114.55,110.68,112.02,113.28,114.62,115.88,117.22,118.48
ALKEM,4910.4,4787.07,4822.53,4866.47,4901.93,4945.87,4981.33,5025.27
ALKYLAMINE,2077.25,2034.68,2052.32,2064.78,2082.42,2094.88,2112.52,2124.98
ALLCARGO,74.05,71.67,72.58,73.32,74.23,74.97,75.88,76.62
ALLETEC,250.55,241.37,245.68,248.12,252.43,254.87,259.18,261.62
ALLSEC,777.65,726.08,746.12,761.88,781.92,797.68,817.72,833.48
ALMONDZ,107.0,105.67,106.33,106.67,107.33,107.67,108.33,108.67
ALOKINDS,27.55,26.65,26.95,27.25,27.55,27.85,28.15,28.45
ALPA,96.5,90.88,92.77,94.63,96.52,98.38,100.27,102.13
ALPEXSOLAR,510.1,462.4,473.7,491.9,503.2,521.4,532.7,550.9
ALPHA,47.93,45.6,46.42,47.17,47.99,48.74,49.56,50.31
ALPHAETF,24.32,23.46,23.69,24.0,24.23,24.54,24.77,25.08
ALPHAGEO,388.65,355.17,370.58,379.62,395.03,404.07,419.48,428.52
ALPL30IETF,270.89,265.53,267.44,269.17,271.08,272.81,274.72,276.45
ALPSINDUS,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
ALUWIND,46.4,44.33,45.17,45.78,46.62,47.23,48.07,48.68
AMBANIORG,129.9,123.82,125.03,127.47,128.68,131.12,132.33,134.77
AMBER,3779.5,3659.25,3710.3,3744.9,3795.95,3830.55,3881.6,3916.2
AMBICAAGAR,29.65,27.18,28.22,28.93,29.97,30.68,31.72,32.43
AMBIKCO,1536.25,1488.9,1507.45,1521.85,1540.4,1554.8,1573.35,1587.75
AMBUJACEM,632.35,615.73,622.92,627.63,634.82,639.53,646.72,651.43
AMDIND,71.15,66.18,68.22,69.68,71.72,73.18,75.22,76.68
AMEYA,54.15,51.23,52.12,53.13,54.02,55.03,55.92,56.93
AMIABLE,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0
AMIORG,1214.1,1156.33,1181.17,1197.63,1222.47,1238.93,1263.77,1280.23
AMJLAND,39.2,35.68,36.77,37.98,39.07,40.28,41.37,42.58
AMNPLST,213.35,190.65,195.85,204.6,209.8,218.55,223.75,232.5
AMRUTANJAN,681.5,657.6,668.9,675.2,686.5,692.8,704.1,710.4
ANANDRATHI,3959.0,3797.75,3864.4,3911.7,3978.35,4025.65,4092.3,4139.6
ANANTRAJ,364.15,347.27,353.78,358.97,365.48,370.67,377.18,382.37
ANDHRAPAP,526.7,490.55,503.1,514.9,527.45,539.25,551.8,563.6
ANDHRSUGAR,108.5,101.72,104.03,106.27,108.58,110.82,113.13,115.37
ANGELONE,2816.8,2643.2,2721.6,2769.2,2847.6,2895.2,2973.6,3021.2
ANIKINDS,54.55,49.68,51.82,53.18,55.32,56.68,58.82,60.18
ANKITMETAL,4.15,3.87,3.98,4.07,4.18,4.27,4.38,4.47
ANLON,438.0,434.0,436.0,437.0,439.0,440.0,442.0,443.0
ANMOL,40.1,36.3,38.1,39.1,40.9,41.9,43.7,44.7
ANNAPURNA,378.95,364.8,370.05,374.5,379.75,384.2,389.45,393.9
ANSALAPI,10.55,10.48,10.52,10.53,10.57,10.58,10.62,10.63
